time,x,y,z
1736372497057201700,1.0492341815136372,-1.5793407365322112,0.8320639873594046
1736372497067263500,0.8804431106030941,-1.5428291612148284,0.16434943520128725
1736372497077325600,0.6909472514465451,-1.3999147282302378,-0.14619827696084975
1736372497087388000,0.40010771770849823,-1.2948054175049066,-0.11008534557223319
1736372497097449700,0.12812822113260627,-1.237308337303996,0.20417817224264143
1736372497107511800,-0.3050605129227042,-1.4848352374076843,0.33834757323563097
1736372497117578000,-0.5961361935041845,-1.6972984229147434,0.25922844381332394
1736372497127640000,-1.0591098249703645,-1.5268857421517372,0.11981705051362514
1736372497137702000,-1.4215768172010779,-1.2639549366891383,-0.2106272022515535
1736372497147764000,-1.5145483847565948,-0.8599386672347784,-0.735536042496562
1736372497157826000,-1.359102533109486,-0.5271913982242346,-0.6473650070905685
1736372497167888000,-1.494039411343634,-0.2850356697648764,-0.18220774797499178
1736372497177950000,-1.7063342545464635,0.10963467919528484,-0.0855249048113823
1736372497188011800,-1.372058022402972,0.18531857347190378,-0.14994506227374077
1736372497198073900,-0.8782919969838112,0.06483867513537407,-0.4381669608592987
1736372497208136000,-0.33687983877062794,0.13752631020545958,-0.4724292959451675
1736372497218199000,0.38430217274613676,0.46518648521006106,-0.1305500414520502
1736372497228261000,0.9821776111330837,0.7964940768063068,0.6308183614373206
1736372497238323000,0.48696642840690907,0.35863925063610075,0.011729308499395847
1736372497248385000,-0.13205262803472578,-0.8755091613322495,-0.5063315655469894
1736372497258446800,-0.8263450982559472,-1.7387860330790281,-0.799488874708116
1736372497268509000,-1.222824104073271,-2.2919220198988914,-0.8020560948476195
1736372497278571000,-1.234692017325759,-2.343422490033507,-0.6450068996571005
1736372497288632800,-1.3151920797124503,-2.4916022962003943,-0.6458136859953403
1736372497298695000,-1.3199993338637053,-3.1251714176505803,-0.5298620787382126
1736372497308756700,-1.117313592135906,-3.866038299781084,-0.2563689627289772
1736372497318819000,-0.9588578911483288,-4.557693114975095,0.011963957505486905
1736372497328882000,-0.8515171681091189,-5.163053210029005,0.32164252215027805
1736372497338944000,-0.7165956335745751,-5.548748809894919,0.6219295370608567
1736372497349005800,-0.6356399363748729,-5.830145246374607,0.8343384350974112
1736372497359068000,-0.5644114506045356,-5.996649229261279,0.8438556205052882
1736372497369130000,-0.5231286057647317,-5.976190378600359,0.8614327782500535
1736372497379191800,-0.38820761921945957,-5.777976667720079,0.9234200825423001
1736372497389254000,-0.061361372679937624,-5.379782236286998,1.1643430543363094
1736372497399315700,-0.10537983476240187,-4.9766719757616515,1.2451000140935182
1736372497409377800,-0.5564929690975695,-4.542758580693603,0.6810827139057218
1736372497419440000,-0.3900069602590054,-3.8154116898715493,0.2316859185017645
1736372497429503000,0.1350438914057333,-2.7247300840735433,0.1476959681726992
1736372497439565000,0.30799141527544704,-1.735842965364456,0.34732129941657186
1736372497449627000,0.06690127478756476,-0.8321797226935624,0.7511768253512681
1736372497459689000,-0.1258969366828911,-0.15058862087428568,1.1729988006092607
1736372497469750800,-0.11153024715092033,0.39614042151272294,1.6888079502061009
1736372497479812900,-0.22269063807614145,0.9652081369578838,2.3220208055645224
1736372497489875000,-0.2964053511716425,1.4492320091068744,3.2950060062646864
1736372497499936800,-0.1714956171615049,1.8901269336253403,4.802229308830201
1736372497509999000,0.5238841733723879,2.350801494368911,6.666859105366468
1736372497520061000,1.0081475533656776,2.5037445694148537,7.441529472899436
1736372497530123000,0.6809115220572799,2.9282272883147,6.6152645272076125
1736372497540185900,-0.07708911229888908,3.6244273457229137,5.3198652354627844
1736372497550248000,-1.4194827675312756,3.5322564270257946,4.414697725708782
1736372497560309800,-2.881626280659437,3.167411892008781,3.6063556824594736
1736372497570371800,-3.7886820883780716,3.646620472830534,2.489626027691364
1736372497580434000,-4.169039249825477,4.738704346641898,1.530048882357776
1736372497590495700,-4.517117651219666,5.255228804901242,0.5297197476580738
1736372497600558000,-5.016988788580894,4.800870003175735,-0.03635258536338806
1736372497610620000,-5.406986469554901,3.8082495431572196,-0.15125614487230776
1736372497620682000,-5.183769250321388,2.7975883995354174,-0.21971885572373867
1736372497630744000,-2.9117537078976627,2.1895821738868952,-0.32714433443695307
1736372497640806000,0.16605064962860197,1.9268319856882095,-0.007497077757120132
1736372497650869000,1.4343138414382934,1.440592191055417,0.4078270599141717
1736372497660930800,2.020251881533116,0.704627109491825,0.60610828307271
1736372497670993000,2.6070298795834184,0.012706921359896659,0.7455806127794087
1736372497681054700,3.351986661376059,-0.7414543266296386,1.1461318364717066
1736372497691117000,4.985278476065397,-1.1758107892900704,1.7292730854548513
1736372497701179100,6.506909366428852,-1.4728735814571379,2.6665064431637524
1736372497711241000,4.221261896754801,-2.5283283910512924,3.70138374415338
1736372497721303000,1.2764742265224456,-2.8232822282403705,4.026642703235149
1736372497731364900,-0.3258256895864382,-2.223929849168658,3.4095202741950748
1736372497741427000,-0.9648823390696197,-1.1339297958940266,2.013228997159004
1736372497751489800,-1.4395698622703552,0.19046645775437354,-0.019672668719291686
1736372497761552000,-2.2039622891560198,1.292566698667407,-2.1878139951705933
1736372497771614000,-3.1667195258304477,1.99354229991436,-4.574220471405983
1736372497781675800,-3.588075929403305,2.268403197145462,-6.091095691674948
1736372497791738000,-3.6265085359111424,2.2312416334867478,-6.34767742037177
1736372497801800000,-2.6882375057175754,2.4720693282127377,-5.67347935141325
1736372497811862000,-1.3069007828377186,2.8481092109829187,-4.449088363349437
