time,seconds_elapsed,steps
1728747490945655300,0.1286552734375,0
1728747501735358700,10.918358642578125,7
1728747502854377200,12.037377197265625,9
1728747503493842700,12.6768427734375,10
1728747504772340200,13.95534033203125,11
1728747505092011800,14.27501171875,12
1728747505571534600,14.75453466796875,13
1728747505891145200,15.074145263671875,14
1728747506210786300,15.393786376953125,15
1728747506530397000,15.71339697265625,16
1728747507009950200,16.1929501953125,17
1728747507489381400,16.67238134765625,18
1728747507888948000,17.071947998046873,19
1728747508208619500,17.39161962890625,20
1728747508767854000,17.95085400390625,21
1728747509167451400,18.350451416015623,22
1728747509806825200,18.9898251953125,23
1728747510446077000,19.629076904296873,24
1728747511005403000,20.18840283203125,25
1728747511484925700,20.66792578125,26
1728747511964448500,21.147448486328123,27
1728747512443757600,21.626757568359373,28
1728747513162958300,22.345958251953125,29
1728747513642420000,22.825419921875,30
1728747514122003700,23.305003662109375,31
1728747514681390800,23.864390869140625,32
1728747515240839200,24.423839111328125,33
1728747515720331300,24.903331298828125,34
1728747516279779600,25.462779541015625,35
1728747516759210800,25.942210693359375,36
1728747517318659000,26.5016591796875,37
1728747517798059500,26.9810595703125,38
1728747518357294300,27.54029443359375,39
1728747518836725500,28.0197255859375,40
1728747519396082200,28.579082275390626,41
1728747519875482600,29.058482666015625,42
1728747520434870000,29.6178701171875,43
1728747520834558700,30.017558837890626,44
1728747521473670700,30.656670654296875,45
1728747521953223700,31.1362236328125,46
1728747522512672000,31.695672119140625,47
1728747522992164400,32.175164306640625,48
1728747523551643000,32.73464282226563,49
1728747524031104800,33.214104736328125,50
1728747524590614000,33.773614013671875,51
1728747525070075600,34.25307568359375,52
1728747525629462800,34.812462890625,53
1728747526108863500,35.291863525390625,54
1728747526748023600,35.9310234375,55
1728747527227485200,36.41048510742188,56
1728747527786720000,36.969719970703125,57
1728747528266273000,37.44927294921875,58
1728747528905372200,38.0883720703125,59
1728747529384833800,38.56783374023438,60
1728747529944129500,39.127129638671875,61
1728747530423560700,39.606560791015625,62
1728747530983070000,40.166070068359375,63
1728747531462501000,40.645501220703125,64
1728747532101692000,41.28469189453125,65
1728747532660987400,41.8439873046875,66
1728747533060523500,42.2435234375,67
1728747533619788800,42.802788818359375,68
1728747534179206400,43.36220629882813,69
1728747534818549800,44.0015498046875,70
1728747535297919700,44.48091967773438,71
1728747535777351000,44.96035083007813,72
1728747536416602600,45.5996025390625,73
1728747536896186400,46.07918627929688,74
1728747537455421200,46.638421142578125,75
1728747537934974200,47.11797412109375,76
1728747538574043000,47.75704296875,77
1728747539053535000,48.23653491210938,78
1728747539612891600,48.7958916015625,79
1728747540172217900,49.3552177734375,80
1728747540651557600,49.8345576171875,81
1728747541211036400,50.394036376953125,82
1728747541770606600,50.953606689453125,83
1728747542250129400,51.43312939453125,84
1728747542809669000,51.992669189453125,85
1728747543369117400,52.552117431640625,86
1728747543928565500,53.1115654296875,87
1728747544408149200,53.59114916992188,88
1728747545047248400,54.23024829101563,89
1728747545526649000,54.709649169921875,90
1728747546086127900,55.2691279296875,91
1728747546645545500,55.82854541015625,92
1728747547204963300,56.38796337890625,93
1728747547764198000,56.947197998046875,94
1728747548323585000,57.5065849609375,95
1728747548803077400,57.986077392578125,96
1728747549362464500,58.545464599609375,97
1728747549841773600,59.024773681640625,98
1728747550480964400,59.66396435546875,99
1728747550960456400,60.14345654296875,100
1728747551599616500,60.78261645507813,101
1728747552159004000,61.34200390625,102
1728747552638404400,61.821404296875,103
1728747553117744000,62.300744140625,104
1728747553756995800,62.939995849609375,105
1728747554236579600,63.41957958984375,106
1728747554795905800,63.97890576171875,107
1728747555355231700,64.53823168945313,108
1728747555914680000,65.09768017578125,109
1728747556394011400,65.57701147460938,110
1728747556953398800,66.13639868164063,111
1728747557432830000,66.61582983398438,112
1728747558072020500,67.2550205078125,113
1728747558551482000,67.73448217773438,114
1728747559110838800,68.2938388671875,115
1728747559590483700,68.77348364257813,116
1728747560229735400,69.4127353515625,117
1728747560709258000,69.89225805664063,118
1728747561268706300,70.45170629882813,119
1728747561748290000,70.9312900390625,120
1728747562387633400,71.57063330078125,121
1728747562867217200,72.05021704101563,122
1728747563426817800,72.60981787109375,123
1728747563986174500,73.16917456054688,124
1728747564545714400,73.72871435546875,125
1728747565025176000,74.20817602539063,126
1728747565664550000,74.8475498046875,127
1728747566144194600,75.32719458007813,128
1728747566703612400,75.8866123046875,129
1728747567183104500,76.3661044921875,130
1728747567742552800,76.925552734375,131
1728747568301970400,77.48497045898438,132
1728747568861388300,78.04438818359375,133
1728747569340758300,78.52375830078125,134
1728747569900145400,79.0831455078125,135
1728747570459441200,79.64244116210938,136
1728747571018828300,80.20182836914063,137
1728747571498320600,80.68132055664063,138
1728747572057738200,81.24073828125,139
1728747572617003500,81.80000341796875,140
1728747573176329700,82.35932983398438,141
1728747573655730200,82.83873022460938,142
1728747574215148000,83.39814794921875,143
1728747574774413000,83.9574130859375,144
1728747575333739300,84.5167392578125,145
1728747575893096000,85.07609594726563,146
1728747576452452600,85.63545263671875,147
1728747576931945000,86.11494506835938,148
1728747577491454200,86.6744541015625,149
1728747578050811000,87.23381079101563,150
1728747578530333400,87.71333349609375,151
1728747579009795000,88.19279516601563,152
1728747579649016300,88.83201635742188,153
1728747580128386600,89.31138647460938,154
1728747580687651600,89.87065161132813,155
1728747581247069400,90.4300693359375,156
1728747581806395600,90.98939575195313,157
1728747582365874200,91.54887426757813,158
1728747582925261600,92.10826147460938,159
1728747583404845300,92.58784521484375,160
1728747583964232400,93.147232421875,161
1728747584523467000,93.70646704101563,162
1728747585082793200,94.26579321289063,163
1728747585642058500,94.82505859375,164
1728747586201567700,95.38456762695313,165
1728747586680999000,95.8639990234375,166
1728747587240477400,96.4234775390625,167
1728747587799895300,96.98289526367188,168
1728747588359282400,97.54228247070313,169
1728747588838758700,98.02175854492188,170
1728747589477796900,98.660796875,171
1728747589957289000,99.1402890625,172
1728747590516828700,99.69982861328126,173
1728747591076246500,100.25924658203125,174
1728747591635816700,100.81881665039063,175
1728747592195509200,101.37850927734375,176
1728747592755201500,101.93820141601563,177
1728747593315046700,102.49804663085938,178
1728747593794966000,102.97796606445313,179
1728747594354597400,103.53759741210938,180
1728747594914503400,104.09750341796875,181
1728747595474317800,104.65731787109375,182
1728747595954115000,105.13711499023438,183
1728747596433729500,105.6167294921875,184
1728747597073072600,106.25607275390625,185
1728747597552686800,106.73568676757813,186
1728747598192091100,107.37509106445313,187
1728747598751631000,107.93463110351563,188
1728747599231214800,108.41421484375,189
1728747599710646000,108.89364599609375,190
1728747600270246700,109.45324658203126,191
1728747600909529000,110.09252905273438,192
1728747601389112800,110.57211279296875,193
1728747602028395000,111.21139501953125,194
1728747602587721200,111.77072119140625,195
1728747603067091200,112.25009130859375,196
1728747603706495500,112.88949560546875,197
1728747604265821700,113.44882177734375,198
1728747604745313800,113.92831372070313,199
1728747605384413000,114.56741284179688,200
1728747605864057900,115.04705786132813,201
1728747606423292400,115.60629248046875,202
1728747606982649000,116.16564916992188,203
1728747607462049800,116.6450498046875,204
1728747608101240300,117.284240234375,205
1728747608500990200,117.683990234375,206
1728747609060194300,118.2431943359375,207
1728747609300032000,118.48303198242188,208
1728747609699446000,118.88244604492188,209
1728747610178968600,119.36196850585938,210
1728747610738172700,119.92117260742188,211
1728747611377333000,120.5603330078125,212
1728747611856794600,121.03979467773438,213
1728747612416151300,121.5991513671875,214
1728747612975569000,122.15856884765626,215
1728747613454939100,122.63793920898438,216
1728747614094282500,123.27728247070313,217
1728747614653669600,123.83666967773438,218
1728747615053083600,124.23608374023438,219
1728747615772138800,124.955138671875,220
1728747616251600600,125.4346005859375,221
1728747616731062300,125.91406225585938,222
1728747617450300400,126.63330053710938,223
1728747617929762000,127.11276196289063,224
1728747618489118700,127.67211865234376,225
1728747619048536600,128.23153662109374,226
1728747619528092200,128.71109204101563,227
1728747620167252200,129.35025219726563,228
1728747620806565000,129.98956518554687,229
1728747621286026800,130.46902685546874,230
1728747621685623800,130.86862377929688,231
