time,seconds_elapsed,z,y,x
1728893810345667300,1.802667236328125,8.233659744262695,2.097320795059204,-0.7086837291717529
1728893810355646500,1.812646484375,8.324639320373535,2.123656988143921,-0.7948749661445618
1728893810365656300,1.82265625,8.453926086425781,2.1547815799713135,-0.8212111592292786
1728893810375666000,1.832666015625,8.547300338745117,2.164358377456665,-0.8403648138046265
1728893810385675800,1.84267578125,8.65982723236084,2.252943754196167,-0.7996633648872375
1728893810395655200,1.8526552734375,8.731653213500977,2.3295583724975586,-0.7445967197418213
1728893810405634300,1.86263427734375,8.789113998413086,2.4013843536376953,-0.6727706789970398
1728893810415613400,1.872613525390625,8.925583839416504,2.4875755310058594,-0.6655880808830261
1728893810425623300,1.882623291015625,9.078812599182129,2.5282769203186035,-0.6416460275650024
1728893810435633200,1.892633056640625,9.14585018157959,2.5761611461639404,-0.6272808313369751
1728893810445612300,1.9026123046875,9.169792175292969,2.6168625354766846,-0.569819986820221
1728893810455591700,1.912591796875,9.277531623840332,2.6144683361053467,-0.5410895943641663
1728893810465570800,1.92257080078125,9.38048267364502,2.5713725090026855,-0.5339069962501526
1728893810475550000,1.932550048828125,9.277531623840332,2.5905263423919678,-0.5267243981361389
1728893810485529300,1.942529296875,9.260771751403809,2.6360161304473877,-0.5650315880775452
1728893810495508500,1.952508544921875,9.35654067993164,2.7078421115875244,-0.545877993106842
1728893810505488000,1.96248779296875,9.390059471130371,2.782062292098999,-0.47165772318840027
1728893810515467000,1.972467041015625,9.287108421325684,2.8874073028564453,-0.43095630407333374
1728893810525446400,1.9824462890625,9.126696586608887,3.0119056701660156,-0.4644751250743866
1728893810535425500,1.992425537109375,9.21288776397705,3.0358476638793945,-0.5003881454467773
1728893810545405000,2.002405029296875,9.10993766784668,3.0573954582214355,-0.5099649429321289
1728893810555384000,2.012384033203125,8.96149730682373,3.090914487838745,-0.4644751250743866
1728893810565363200,2.02236328125,8.875306129455566,3.090914487838745,-0.44532153010368347
1728893810575342600,2.032342529296875,8.80587387084961,3.0813376903533936,-0.45010992884635925
1728893810585321700,2.04232177734375,8.80587387084961,3.1004912853240967,-0.47165772318840027
1728893810595270700,2.052270751953125,8.918401718139648,3.1196448802948,-0.5291185975074768
1728893810605280300,2.0622802734375,9.162610054016113,3.0526070594787598,-0.5770025849342346
1728893810615290000,2.0722900390625,9.220070838928223,2.980781078338623,-0.569819986820221
1728893810625299700,2.0822998046875,9.217676162719727,2.873042106628418,-0.5482721924781799
1728893810635279000,2.092279052734375,9.208099365234375,2.7988216876983643,-0.5650315880775452
1728893810645289000,2.1022890625,9.29189682006836,2.7892448902130127,-0.5674257874488831
1728893810655268000,2.11226806640625,9.279925346374512,2.674323320388794,-0.545877993106842
1728893810665247200,2.122247314453125,9.402029991149902,2.5522189140319824,-0.5434837937355042
1728893810675226600,2.1322265625,9.564835548400879,2.497152328491211,-0.5530605912208557
1728893810685205800,2.142205810546875,9.854534149169922,2.5450363159179688,-0.5961562395095825
1728893810695185200,2.15218505859375,10.007762908935547,2.580949544906616,-0.6392518281936646
1728893810705164300,2.162164306640625,10.125079154968262,2.655169725418091,-0.7254431247711182
1728893810715143700,2.172143798828125,10.56800651550293,2.829946517944336,-0.8236053586006165
1728893810725122800,2.182122802734375,11.195286750793457,3.1100680828094482,-0.9050082564353943
1728893810735102000,2.19210205078125,12.006921768188477,3.397372245788574,-0.950498104095459
1728893810745111800,2.20211181640625,12.600683212280273,3.7038300037384033,-0.912190854549408
1728893810755091200,2.21209130859375,12.607866287231445,3.8522706031799316,-0.7757213711738586
1728893810765070300,2.2220703125,12.198457717895508,3.8091750144958496,-0.5985504388809204
1728893810775049500,2.232049560546875,11.712434768676758,3.7253777980804443,-0.45250412821769714
1728893810785059300,2.242059326171875,11.499350547790527,3.4596214294433594,-0.45250412821769714
1728893810795038700,2.252038818359375,11.456254959106445,3.2154128551483154,-0.47884035110473633
1728893810805048300,2.26204833984375,11.563994407653809,2.8610711097717285,-0.6224924325942993
1728893810815027700,2.27202783203125,12.069170951843262,2.319981336593628,-0.7996633648872375
1728893810825037300,2.282037353515625,12.344504356384277,1.8411411046981812,-1.015141487121582
1728893810835016700,2.2920166015625,12.370840072631836,1.5825673341751099,-1.0127472877502441
1728893810844995800,2.301995849609375,12.018892288208008,1.3623007535934448,-0.912190854549408
1728893810854944500,2.311944580078125,11.475408554077148,1.1228805780410767,-0.7637503147125244
1728893810864954400,2.321954345703125,11.049241065979004,0.9385270476341248,-0.5817909836769104
1728893810874933500,2.33193359375,10.76193618774414,0.8068459630012512,-0.4620809257030487
1728893810884943400,2.341943359375,10.539276123046875,0.7254431247711182,-0.3687070608139038
1728893810894953200,2.351953125,10.54406452178955,0.6224924325942993,-0.4141969084739685
1728893810904962800,2.361962890625,10.47702693939209,0.6153098344802856,-0.38307225704193115
1728893810914972700,2.37197265625,10.254365921020508,0.7038952708244324,-0.3687070608139038
1728893810924982500,2.381982421875,10.110713958740234,0.8068459630012512,-0.28730419278144836
1728893810934992100,2.3919921875,9.974244117736816,0.9145850539207458,-0.22505496442317963
1728893810945002000,2.402001953125,9.667786598205566,1.0103530883789062,-0.16998831927776337
1728893810954981000,2.411981201171875,9.301473617553711,1.048660397529602,-0.05027823522686958
1728893810964991000,2.421990966796875,9.066842079162598,0.950498104095459,0.043095629662275314
1728893810974970000,2.43197021484375,8.813055992126465,0.849941611289978,0.16519992053508759
1728893810984949500,2.441949462890625,8.497021675109863,0.8978256583213806,0.26096799969673157
1728893810994928600,2.4519287109375,8.226476669311523,0.9983820915222168,0.26336219906806946
1728893811004908000,2.461907958984375,8.087613105773926,1.0582371950149536,0.2753331959247589
1728893811014887200,2.47188720703125,8.003816604614258,1.070208191871643,0.29209262132644653
