Room,Address,ESSID,Signal Level,Frequency,Bit Rate,Timestamp
L027,9C:8C:D8:CB:9E:20,SABANCIUNIV,-82,2.412,11,1732311948.023409
L027,9C:8C:D8:CB:9E:21,eduroam,-79,2.412,11,1732311948.023409
L027,9C:8C:D8:CB:9E:22,SUGuest,-78,2.412,11,1732311948.023409
L027,9C:8C:D8:CB:9E:23,SU-IoT,-79,2.412,11,1732311948.023409
L027,B4:5D:50:1F:CF:40,SABANCIUNIV,-76,2.462,11,1732311948.023409
L027,B4:5D:50:1F:CF:41,eduroam,-65,2.462,11,1732311948.023409
L027,B4:5D:50:1F:CF:42,SUGuest,-65,2.462,11,1732311948.023409
L027,B4:5D:50:1F:CF:43,SU-IoT,-66,2.462,11,1732311948.023409
L027,9C:8C:D8:CB:9E:20,SABANCIUNIV,-82,2.412,11,1732311954.0204797
L027,9C:8C:D8:CB:9E:21,eduroam,-79,2.412,11,1732311954.0204797
L027,9C:8C:D8:CB:9E:22,SUGuest,-78,2.412,11,1732311954.0204797
L027,9C:8C:D8:CB:9E:23,SU-IoT,-79,2.412,11,1732311954.0204797
L027,B4:5D:50:1F:CF:40,SABANCIUNIV,-74,2.462,11,1732311954.0204797
L027,B4:5D:50:1F:CF:41,eduroam,-77,2.462,11,1732311954.0204797
L027,B4:5D:50:1F:CF:42,SUGuest,-76,2.462,11,1732311954.0204797
L027,B4:5D:50:1F:CF:43,SU-IoT,-76,2.462,11,1732311954.0204797
L027,B4:5D:50:42:8F:80,SABANCIUNIV,-80,2.437,11,1732311954.0204797
L027,B4:5D:50:42:8F:81,eduroam,-82,2.437,11,1732311954.0204797
L027,B4:5D:50:42:8F:82,SUGuest,-81,2.437,11,1732311954.0204797
L027,B4:5D:50:42:8F:83,SU-IoT,-81,2.437,11,1732311954.0204797
L027,B4:5D:50:42:8F:90,SABANCIUNIV,-87,5.18,12,1732311954.0204797
L027,B4:5D:50:42:8F:91,eduroam,-87,5.18,12,1732311954.0204797
L027,B4:5D:50:42:8F:92,SUGuest,-73,5.18,12,1732311954.0204797
L027,B4:5D:50:1F:D0:B0,SABANCIUNIV,-91,5.56,12,1732311954.0204797
L027,9C:8C:D8:CB:9E:20,SABANCIUNIV,-82,2.412,11,1732311958.2156584
L027,9C:8C:D8:CB:9E:21,eduroam,-79,2.412,11,1732311958.2156584
L027,9C:8C:D8:CB:9E:22,SUGuest,-78,2.412,11,1732311958.2156584
L027,9C:8C:D8:CB:9E:23,SU-IoT,-79,2.412,11,1732311958.2156584
L027,B4:5D:50:1F:CF:40,SABANCIUNIV,-72,2.462,11,1732311958.2156584
L027,B4:5D:50:1F:CF:41,eduroam,-77,2.462,11,1732311958.2156584
L027,B4:5D:50:1F:CF:42,SUGuest,-76,2.462,11,1732311958.2156584
L027,B4:5D:50:1F:CF:43,SU-IoT,-76,2.462,11,1732311958.2156584
L027,B4:5D:50:42:8F:80,SABANCIUNIV,-80,2.437,11,1732311958.2156584
L027,B4:5D:50:42:8F:81,eduroam,-82,2.437,11,1732311958.2156584
L027,B4:5D:50:42:8F:82,SUGuest,-81,2.437,11,1732311958.2156584
L027,B4:5D:50:42:8F:83,SU-IoT,-81,2.437,11,1732311958.2156584
L027,B4:5D:50:42:8F:90,SABANCIUNIV,-89,5.18,12,1732311958.2156584
L027,B4:5D:50:42:8F:91,eduroam,-72,5.18,12,1732311958.2156584
L027,B4:5D:50:42:8F:92,SUGuest,-71,5.18,12,1732311958.2156584
L027,B4:5D:50:1F:D0:B0,SABANCIUNIV,-91,5.56,12,1732311958.2156584
L027,70:3A:0E:09:DF:80,SABANCIUNIV,-80,2.462,11,1732311958.2156584
L027,70:3A:0E:09:DF:81,eduroam,-80,2.462,11,1732311958.2156584
L027,70:3A:0E:09:DF:82,SUGuest,-81,2.462,11,1732311958.2156584
L027,70:3A:0E:09:DF:83,SU-IoT,-81,2.462,11,1732311958.2156584
L027,B4:5D:50:1F:CF:50,SABANCIUNIV,-65,5.32,12,1732311958.2156584
L027,B4:5D:50:1F:CF:51,eduroam,-69,5.32,12,1732311958.2156584
L027,B4:5D:50:1F:CF:52,SUGuest,-69,5.32,12,1732311958.2156584
