Room,Address,ESSID,Signal Level,Frequency,Bit Rate,Timestamp
corridoor1,B4:5D:50:42:8E:50,SABANCIUNIV,-70,5.18,12,1732305710.8616753
corridoor1,B4:5D:50:42:8E:52,SUGuest,-65,5.18,12,1732305710.8616753
corridoor1,B4:5D:50:42:8E:51,eduroam,-66,5.18,12,1732305710.8616753
corridoor1,B4:5D:50:42:8E:40,SABANCIUNIV,-74,2.412,11,1732305710.8616753
corridoor1,B4:5D:50:42:8E:42,SUGuest,-74,2.412,11,1732305710.8616753
corridoor1,B4:5D:50:42:8E:41,eduroam,-74,2.412,11,1732305710.8616753
corridoor1,B4:5D:50:42:8E:43,SU-IoT,-74,2.412,11,1732305710.8616753
corridoor1,B4:5D:50:1F:D0:B0,SABANCIUNIV,-90,5.56,12,1732305710.8616753
corridoor1,B4:5D:50:1F:D0:B1,eduroam,-89,5.56,12,1732305710.8616753
corridoor1,B4:5D:50:1F:D0:B2,SUGuest,-90,5.56,12,1732305710.8616753
corridoor1,B4:5D:50:29:76:60,SABANCIUNIV,-84,2.462,11,1732305710.8616753
corridoor1,B4:5D:50:29:76:61,eduroam,-84,2.462,11,1732305710.8616753
corridoor1,B4:5D:50:42:8E:50,SABANCIUNIV,-79,5.18,12,1732305715.0551705
corridoor1,B4:5D:50:42:8E:52,SUGuest,-71,5.18,12,1732305715.0551705
corridoor1,B4:5D:50:42:8E:51,eduroam,-71,5.18,12,1732305715.0551705
corridoor1,B4:5D:50:42:8E:40,SABANCIUNIV,-67,2.412,11,1732305715.0551705
corridoor1,B4:5D:50:42:8E:42,SUGuest,-67,2.412,11,1732305715.0551705
corridoor1,B4:5D:50:42:8E:41,eduroam,-67,2.412,11,1732305715.0551705
corridoor1,B4:5D:50:42:8E:43,SU-IoT,-66,2.412,11,1732305715.0551705
corridoor1,B4:5D:50:1F:D0:B0,SABANCIUNIV,-90,5.56,12,1732305715.0551705
corridoor1,B4:5D:50:1F:D0:B1,eduroam,-89,5.56,12,1732305715.0551705
corridoor1,B4:5D:50:1F:D0:B2,SUGuest,-90,5.56,12,1732305715.0551705
corridoor1,B4:5D:50:29:76:60,SABANCIUNIV,-83,2.462,11,1732305715.0551705
corridoor1,B4:5D:50:29:76:61,eduroam,-83,2.462,11,1732305715.0551705
corridoor1,B4:5D:50:29:76:62,SUGuest,-83,2.462,11,1732305715.0551705
