Room,Address,ESSID,Signal Level,Frequency,Bit Rate,Timestamp
L048,B4:5D:50:42:8E:50,SABANCIUNIV,-57,5.18,12,1732306705.9271138
L048,B4:5D:50:42:8E:52,SUGuest,-58,5.18,12,1732306705.9271138
L048,B4:5D:50:42:8E:51,eduroam,-58,5.18,12,1732306705.9271138
L048,B4:5D:50:42:8E:40,SABANCIUNIV,-63,2.412,11,1732306705.9271138
L048,B4:5D:50:42:8E:42,SUGuest,-63,2.412,11,1732306705.9271138
L048,B4:5D:50:42:8E:41,eduroam,-63,2.412,11,1732306705.9271138
L048,B4:5D:50:42:8E:43,SU-IoT,-63,2.412,11,1732306705.9271138
L048,B4:5D:50:29:76:62,SUGuest,-76,2.462,11,1732306705.9271138
L048,B4:5D:50:29:76:63,SU-IoT,-76,2.462,11,1732306705.9271138
L048,B4:5D:50:29:76:61,eduroam,-76,2.462,11,1732306705.9271138
L048,B4:5D:50:29:76:70,SABANCIUNIV,-86,5.3,12,1732306705.9271138
L048,B4:5D:50:29:76:71,eduroam,-85,5.3,12,1732306705.9271138
L048,B4:5D:50:29:76:72,SUGuest,-85,5.3,12,1732306705.9271138
L048,B4:5D:50:29:76:60,SABANCIUNIV,-76,2.462,11,1732306705.9271138
L048,B4:5D:50:1F:D0:B0,SABANCIUNIV,-87,5.56,12,1732306705.9271138
L048,B4:5D:50:1F:D0:B2,SUGuest,-87,5.56,12,1732306705.9271138
L048,B4:5D:50:42:8E:50,SABANCIUNIV,-64,5.18,12,1732306710.2369888
L048,B4:5D:50:42:8E:52,SUGuest,-58,5.18,12,1732306710.2369888
L048,B4:5D:50:42:8E:51,eduroam,-57,5.18,12,1732306710.2369888
L048,B4:5D:50:42:8E:40,SABANCIUNIV,-62,2.412,11,1732306710.2369888
L048,B4:5D:50:42:8E:42,SUGuest,-61,2.412,11,1732306710.2369888
L048,B4:5D:50:42:8E:41,eduroam,-62,2.412,11,1732306710.2369888
L048,B4:5D:50:42:8E:43,SU-IoT,-61,2.412,11,1732306710.2369888
L048,B4:5D:50:29:76:62,SUGuest,-76,2.462,11,1732306710.2369888
L048,B4:5D:50:29:76:63,SU-IoT,-76,2.462,11,1732306710.2369888
L048,B4:5D:50:29:76:61,eduroam,-76,2.462,11,1732306710.2369888
L048,B4:5D:50:29:76:70,SABANCIUNIV,-83,5.3,12,1732306710.2369888
L048,B4:5D:50:29:76:71,eduroam,-85,5.3,12,1732306710.2369888
L048,B4:5D:50:29:76:72,SUGuest,-85,5.3,12,1732306710.2369888
L048,B4:5D:50:29:76:60,SABANCIUNIV,-76,2.462,11,1732306710.2369888
