Date;Timestamp;DeviceOrientation;AccelerationX;AccelerationY;AccelerationZ;Label
2024-10-06 10:08:40 AM;1728198521.069212;faceUp;-0.0240020751953125;-0.3499755859375;-0.993560791015625;walking
2024-10-06 10:08:40 AM;1728198521.0757818;faceUp;0.1036834716796875;-0.1576080322265625;-0.7968292236328125;walking
2024-10-06 10:08:40 AM;1728198521.0768929;faceUp;0.24603271484375;-0.3102264404296875;-0.83050537109375;walking
2024-10-06 10:08:40 AM;1728198521.077086;faceUp;0.0592193603515625;-0.1897735595703125;-1.011016845703125;walking
2024-10-06 10:08:40 AM;1728198521.077244;faceUp;-0.28399658203125;-0.05438232421875;-0.3591156005859375;walking
2024-10-06 10:08:40 AM;1728198521.077373;faceUp;0.0272216796875;-0.5817718505859375;-0.8173065185546875;walking
2024-10-06 10:08:40 AM;1728198521.077526;faceUp;0.440948486328125;-0.31134033203125;-0.9583892822265625;walking
2024-10-06 10:08:40 AM;1728198521.077677;faceUp;-0.1972808837890625;-0.284332275390625;-1.046539306640625;walking
2024-10-06 10:08:40 AM;1728198521.0878081;faceUp;0.0904083251953125;-0.1572418212890625;-1.0937042236328125;walking
2024-10-06 10:08:40 AM;1728198521.138369;faceUp;0.082916259765625;-0.2049102783203125;-1.096435546875;walking
2024-10-06 10:08:40 AM;1728198521.1886039;faceUp;-0.0819244384765625;-0.2101593017578125;-1.0057373046875;walking
2024-10-06 10:08:40 AM;1728198521.238862;faceUp;-0.073028564453125;-0.16943359375;-1.0046539306640625;walking
2024-10-06 10:08:40 AM;1728198521.289185;faceUp;-0.0843505859375;-0.1196746826171875;-0.962615966796875;walking
2024-10-06 10:08:40 AM;1728198521.339422;faceUp;-0.234619140625;-0.1480255126953125;-0.9143524169921875;walking
2024-10-06 10:08:40 AM;1728198521.389855;faceUp;-0.2393341064453125;-0.11041259765625;-0.814239501953125;walking
2024-10-06 10:08:40 AM;1728198521.440103;faceUp;-0.390411376953125;0.0575714111328125;-0.55511474609375;walking
2024-10-06 10:08:40 AM;1728198521.4905171;faceUp;-0.3797149658203125;0.276092529296875;-0.2523193359375;walking
2024-10-06 10:08:40 AM;1728198521.540755;faceUp;-0.216461181640625;0.6482696533203125;-0.25640869140625;walking
2024-10-06 10:08:40 AM;1728198521.5912352;faceUp;-0.6575164794921875;0.8795318603515625;-0.18182373046875;walking
2024-10-06 10:08:40 AM;1728198521.641423;faceUp;-1.566497802734375;1.1083984375;-0.5930938720703125;walking
2024-10-06 10:08:40 AM;1728198521.691895;faceUp;-2.1005401611328125;0.873809814453125;-0.3973541259765625;walking
2024-10-06 10:08:40 AM;1728198521.742018;faceUp;-1.964447021484375;0.669952392578125;-0.2133026123046875;walking
2024-10-06 10:08:40 AM;1728198521.7925072;faceUp;-1.467132568359375;0.29840087890625;0.0635528564453125;walking
2024-10-06 10:08:40 AM;1728198521.842712;faceUp;-1.144927978515625;0.09686279296875;0.1439361572265625;walking
2024-10-06 10:08:40 AM;1728198521.8947659;faceUp;-0.6117401123046875;0.353546142578125;0.100311279296875;walking
2024-10-06 10:08:40 AM;1728198521.944643;faceUp;0.1082000732421875;0.457977294921875;0.2520294189453125;walking
2024-10-06 10:08:40 AM;1728198521.994607;faceUp;-0.297027587890625;0.803802490234375;-0.023895263671875;walking
2024-10-06 10:08:40 AM;1728198522.044699;faceUp;-0.779876708984375;0.6175079345703125;-0.3213958740234375;walking
2024-10-06 10:08:40 AM;1728198522.0948138;faceUp;-1.6053924560546875;0.507781982421875;-0.55780029296875;walking
2024-10-06 10:08:40 AM;1728198522.14502;faceUp;-1.3540802001953125;0.4130401611328125;0.073638916015625;walking
2024-10-06 10:08:40 AM;1728198522.1950011;faceUp;-0.9069976806640625;-0.232574462890625;0.103851318359375;walking
2024-10-06 10:08:40 AM;1728198522.245136;faceUp;-0.632537841796875;0.5915069580078125;0.3085479736328125;walking
2024-10-06 10:08:40 AM;1728198522.295789;faceUp;-0.508056640625;0.3594207763671875;-0.2782135009765625;walking
2024-10-06 10:08:40 AM;1728198522.3458018;faceUp;-0.5258941650390625;0.73480224609375;0.052459716796875;walking
2024-10-06 10:08:40 AM;1728198522.396387;faceUp;-0.6595458984375;1.2024383544921875;0.5307769775390625;walking
2024-10-06 10:08:40 AM;1728198522.446759;faceUp;-0.301971435546875;0.855499267578125;-0.0446014404296875;walking
2024-10-06 10:08:40 AM;1728198522.4974341;faceUp;0.147491455078125;1.2539825439453125;0.595672607421875;walking
2024-10-06 10:08:40 AM;1728198522.5473151;faceUp;0.2256927490234375;1.07000732421875;0.3388519287109375;walking
2024-10-06 10:08:40 AM;1728198522.597765;faceUp;-0.1280975341796875;0.96087646484375;0.3309478759765625;walking
2024-10-06 10:08:40 AM;1728198522.647671;faceUp;-0.1062164306640625;0.8811492919921875;0.2522735595703125;walking
2024-10-06 10:08:40 AM;1728198522.698194;faceUp;-0.1201629638671875;0.843231201171875;0.3099212646484375;walking
2024-10-06 10:08:40 AM;1728198522.748454;faceUp;0.474700927734375;1.1681671142578125;0.41326904296875;walking
2024-10-06 10:08:40 AM;1728198522.798911;faceUp;0.4503936767578125;0.718505859375;0.2791595458984375;walking
2024-10-06 10:08:40 AM;1728198522.849071;faceUp;0.9901123046875;1.2981109619140625;0.2046051025390625;walking
2024-10-06 10:08:40 AM;1728198522.899485;faceUp;0.3838653564453125;0.9441680908203125;0.9510040283203125;walking
2024-10-06 10:08:40 AM;1728198522.949683;portraitUpsideDown;0.18682861328125;0.80023193359375;0.026763916015625;walking
