Room,Address,Signal Level
2,20,0.28
2,21,0.28
2,22,0.28
2,23,0.28
2,27,0.30999999999999994
2,24,0.35
2,28,0.30999999999999994
2,29,0.30999999999999994
2,30,0.30999999999999994
2,20,0.24
2,21,0.24
2,22,0.24
2,23,0.22999999999999998
2,27,0.32999999999999996
2,24,0.29000000000000004
2,28,0.32999999999999996
2,29,0.32999999999999996
2,30,0.32999999999999996
2,31,0.37
2,32,0.37
2,33,0.37
2,25,0.31999999999999995
2,26,0.30999999999999994
2,20,0.24
2,21,0.24
2,22,0.24
2,23,0.22999999999999998
2,27,0.38
2,24,0.29999999999999993
2,28,0.39
2,29,0.39
2,30,0.39
2,31,0.45999999999999996
2,32,0.33999999999999997
2,33,0.33999999999999997
2,25,0.27
2,26,0.29000000000000004
2,20,0.24
2,21,0.21999999999999997
2,22,0.24
2,23,0.22999999999999998
2,27,0.35
2,24,0.30999999999999994
2,28,0.35
2,29,0.35
2,30,0.4
2,31,0.4
2,32,0.31999999999999995
2,33,0.31999999999999995
2,25,0.29999999999999993
2,26,0.30999999999999994
2,20,0.24
2,21,0.24
2,22,0.24
2,23,0.25
2,27,0.25
2,24,0.38
2,28,0.25
2,29,0.24
2,30,0.24
2,31,0.30999999999999994
2,32,0.29999999999999993
2,33,0.29999999999999993
2,25,0.39
2,26,0.39
2,20,0.26
2,21,0.27
2,22,0.27
2,23,0.27
2,27,0.33999999999999997
2,24,0.33999999999999997
2,28,0.35
2,29,0.35
2,30,0.35
2,31,0.28
2,32,0.30999999999999994
2,33,0.31999999999999995
2,25,0.33999999999999997
2,26,0.30999999999999994
2,20,0.17999999999999994
2,21,0.18999999999999995
2,22,0.17999999999999994
2,23,0.17999999999999994
2,27,0.31999999999999995
2,24,0.30999999999999994
2,28,0.30999999999999994
2,29,0.30999999999999994
2,30,0.30999999999999994
2,31,0.41000000000000003
2,32,0.31999999999999995
2,33,0.4
2,25,0.29999999999999993
2,26,0.29999999999999993
2,20,0.19999999999999996
2,21,0.19999999999999996
2,22,0.19999999999999996
2,23,0.18999999999999995
2,27,0.31999999999999995
2,24,0.28
2,28,0.31999999999999995
2,29,0.31999999999999995
2,30,0.31999999999999995
2,31,0.37
2,32,0.37
2,33,0.4
2,25,0.25
2,26,0.25
2,20,0.24
2,21,0.22999999999999998
2,22,0.22999999999999998
2,23,0.22999999999999998
2,27,0.29000000000000004
2,24,0.36
2,28,0.29000000000000004
2,29,0.29000000000000004
2,30,0.29000000000000004
2,31,0.35
2,32,0.33999999999999997
2,33,0.4
2,25,0.33999999999999997
2,26,0.29999999999999993
2,20,0.24
2,21,0.24
2,22,0.24
2,23,0.24
2,27,0.24
2,24,0.32999999999999996
2,28,0.24
2,29,0.22999999999999998
2,30,0.22999999999999998
2,31,0.35
2,32,0.35
2,33,0.35
2,25,0.42999999999999994
2,26,0.42000000000000004
2,20,0.29000000000000004
2,21,0.29999999999999993
2,22,0.29999999999999993
2,23,0.29999999999999993
2,27,0.25
2,24,0.32999999999999996
2,28,0.26
2,29,0.26
2,30,0.26
2,31,0.31999999999999995
2,32,0.31999999999999995
2,33,0.31999999999999995
2,25,0.4
2,26,0.41000000000000003
2,20,0.24
2,21,0.24
2,22,0.22999999999999998
2,23,0.22999999999999998
2,27,0.36
2,24,0.29999999999999993
2,28,0.36
2,29,0.36
2,30,0.36
2,31,0.32999999999999996
2,32,0.31999999999999995
2,33,0.30999999999999994
2,25,0.31999999999999995
2,26,0.30999999999999994
2,20,0.19999999999999996
2,21,0.20999999999999996
2,22,0.19999999999999996
2,23,0.19999999999999996
2,27,0.30999999999999994
2,24,0.33999999999999997
2,28,0.30999999999999994
2,29,0.29999999999999993
2,30,0.30999999999999994
2,31,0.44999999999999996
2,32,0.44999999999999996
2,33,0.33999999999999997
2,25,0.26
2,26,0.27
2,20,0.20999999999999996
2,21,0.19999999999999996
2,22,0.19999999999999996
2,23,0.19999999999999996
2,27,0.29999999999999993
2,24,0.31999999999999995
2,28,0.29999999999999993
2,29,0.29999999999999993
2,30,0.29999999999999993
2,31,0.36
2,32,0.36
2,33,0.36
2,25,0.28
2,26,0.29999999999999993
2,20,0.29000000000000004
2,21,0.29000000000000004
2,22,0.28
2,23,0.29000000000000004
2,27,0.21999999999999997
2,24,0.39
2,28,0.22999999999999998
2,29,0.25
2,30,0.24
2,31,0.32999999999999996
2,32,0.31999999999999995
2,33,0.32999999999999996
2,25,0.52
2,26,0.52
2,20,0.20999999999999996
2,21,0.21999999999999997
2,22,0.21999999999999997
2,23,0.20999999999999996
2,27,0.31999999999999995
2,24,0.29999999999999993
2,28,0.32999999999999996
2,29,0.32999999999999996
2,30,0.32999999999999996
2,31,0.33999999999999997
2,32,0.33999999999999997
2,33,0.33999999999999997
2,25,0.29999999999999993
2,26,0.32999999999999996
2,20,0.20999999999999996
2,21,0.21999999999999997
2,22,0.21999999999999997
2,23,0.20999999999999996
2,27,0.36
2,24,0.25
2,28,0.35
2,29,0.35
2,30,0.36
2,31,0.39
2,32,0.39
2,33,0.39
2,25,0.29000000000000004
2,26,0.30999999999999994
2,20,0.20999999999999996
2,21,0.21999999999999997
2,22,0.21999999999999997
2,23,0.20999999999999996
2,27,0.35
2,24,0.30999999999999994
2,28,0.35
2,29,0.35
2,30,0.35
2,31,0.45999999999999996
2,32,0.33999999999999997
2,33,0.33999999999999997
2,25,0.29000000000000004
2,26,0.29999999999999993
2,20,0.27
2,21,0.27
2,22,0.27
2,23,0.27
2,27,0.28
2,24,0.39
2,28,0.28
2,29,0.28
2,30,0.27
2,31,0.35
2,32,0.30999999999999994
2,33,0.30999999999999994
2,25,0.35
2,26,0.30999999999999994
2,20,0.32999999999999996
2,21,0.32999999999999996
2,22,0.33999999999999997
2,23,0.32999999999999996
2,27,0.28
2,24,0.36
2,28,0.28
2,29,0.28
2,30,0.28
2,31,0.28
2,32,0.31999999999999995
2,33,0.30999999999999994
2,25,0.27
2,26,0.30999999999999994
2,20,0.26
2,21,0.26
2,22,0.26
2,23,0.26
2,27,0.28
2,24,0.24
2,28,0.28
2,29,0.28
2,30,0.28
2,31,0.29999999999999993
2,32,0.31999999999999995
2,33,0.30999999999999994
2,25,0.27
2,26,0.30999999999999994
2,20,0.21999999999999997
2,21,0.21999999999999997
2,22,0.22999999999999998
2,23,0.22999999999999998
2,27,0.29999999999999993
2,24,0.29999999999999993
2,28,0.29999999999999993
2,29,0.29999999999999993
2,30,0.29999999999999993
2,31,0.43999999999999995
2,32,0.43999999999999995
2,33,0.43999999999999995
2,25,0.22999999999999998
2,26,0.30999999999999994
2,20,0.21999999999999997
2,21,0.21999999999999997
2,22,0.24
2,23,0.24
2,27,0.33999999999999997
2,24,0.30999999999999994
2,28,0.33999999999999997
2,29,0.33999999999999997
2,30,0.33999999999999997
2,31,0.35
2,32,0.36
2,33,0.35
2,25,0.27
2,26,0.27
2,20,0.26
2,21,0.26
2,22,0.26
2,23,0.26
2,27,0.29000000000000004
2,24,0.42000000000000004
2,28,0.29999999999999993
2,29,0.29999999999999993
2,30,0.29000000000000004
2,31,0.35
2,32,0.30999999999999994
2,33,0.31999999999999995
2,25,0.4
2,26,0.30999999999999994
2,20,0.22999999999999998
2,21,0.22999999999999998
2,22,0.22999999999999998
2,23,0.22999999999999998
2,27,0.38
2,24,0.33999999999999997
2,28,0.39
2,29,0.39
2,30,0.38
2,31,0.29999999999999993
2,32,0.30999999999999994
2,33,0.30999999999999994
2,25,0.37
2,26,0.29999999999999993
2,20,0.22999999999999998
2,21,0.22999999999999998
2,22,0.22999999999999998
2,23,0.22999999999999998
2,27,0.32999999999999996
2,24,0.24
2,28,0.32999999999999996
2,29,0.33999999999999997
2,30,0.32999999999999996
2,31,0.35
2,32,0.35
2,33,0.30999999999999994
2,25,0.37
2,26,0.25
2,20,0.22999999999999998
2,21,0.22999999999999998
2,22,0.22999999999999998
2,23,0.22999999999999998
2,27,0.26
2,24,0.30999999999999994
2,28,0.26
2,29,0.26
2,30,0.26
2,31,0.41000000000000003
2,32,0.41000000000000003
2,33,0.41000000000000003
2,25,0.27
2,26,0.26
2,20,0.25
2,21,0.24
2,22,0.25
2,23,0.25
2,27,0.27
2,24,0.35
2,28,0.27
2,29,0.27
2,30,0.27
2,31,0.31999999999999995
2,32,0.31999999999999995
2,33,0.31999999999999995
2,25,0.37
2,26,0.29999999999999993
2,20,0.27
2,21,0.27
2,22,0.27
2,23,0.27
2,27,0.29999999999999993
2,24,0.49
2,28,0.29000000000000004
2,29,0.29000000000000004
2,30,0.29000000000000004
2,31,0.33999999999999997
2,32,0.33999999999999997
2,33,0.33999999999999997
2,25,0.39
2,26,0.4
2,20,0.28
2,21,0.28
2,22,0.28
2,23,0.28
2,27,0.35
2,24,0.31999999999999995
2,28,0.35
2,29,0.35
2,30,0.35
2,31,0.32999999999999996
2,32,0.30999999999999994
2,33,0.29999999999999993
2,25,0.31999999999999995
2,26,0.29999999999999993
2,20,0.28
2,21,0.20999999999999996
2,22,0.18999999999999995
2,23,0.20999999999999996
2,27,0.33999999999999997
2,24,0.28
2,28,0.35
2,29,0.33999999999999997
2,30,0.35
2,31,0.38
2,32,0.38
2,33,0.29999999999999993
2,25,0.27
2,26,0.27
2,20,0.18999999999999995
2,21,0.18999999999999995
2,22,0.19999999999999996
2,23,0.18999999999999995
2,27,0.32999999999999996
2,24,0.30999999999999994
2,28,0.33999999999999997
2,29,0.32999999999999996
2,30,0.32999999999999996
2,31,0.33999999999999997
2,32,0.35
2,33,0.35
2,25,0.28
2,26,0.29000000000000004
2,20,0.29000000000000004
2,21,0.29000000000000004
2,22,0.29000000000000004
2,23,0.29000000000000004
2,27,0.21999999999999997
2,24,0.39
2,28,0.21999999999999997
2,29,0.21999999999999997
2,30,0.21999999999999997
2,31,0.33999999999999997
2,32,0.33999999999999997
2,33,0.33999999999999997
2,25,0.49
2,26,0.49
2,20,0.19999999999999996
2,21,0.19999999999999996
2,22,0.19999999999999996
2,23,0.20999999999999996
2,27,0.28
2,24,0.28
2,28,0.27
2,29,0.28
2,30,0.27
2,31,0.29000000000000004
2,32,0.31999999999999995
2,33,0.31999999999999995
2,25,0.29999999999999993
2,26,0.30999999999999994
2,20,0.18999999999999995
2,21,0.18999999999999995
2,22,0.18999999999999995
2,23,0.18999999999999995
2,27,0.28
2,24,0.29999999999999993
2,28,0.29000000000000004
2,29,0.28
2,30,0.29000000000000004
2,31,0.4
2,32,0.39
2,33,0.39
2,25,0.27
2,26,0.30999999999999994
2,20,0.18999999999999995
2,21,0.19999999999999996
2,22,0.18999999999999995
2,23,0.18999999999999995
2,27,0.43999999999999995
2,24,0.30999999999999994
2,28,0.44999999999999996
2,29,0.43999999999999995
2,30,0.43999999999999995
2,31,0.37
2,32,0.30999999999999994
2,33,0.30999999999999994
2,25,0.29000000000000004
2,26,0.30999999999999994
2,20,0.31999999999999995
2,21,0.31999999999999995
2,22,0.31999999999999995
2,23,0.31999999999999995
2,27,0.29999999999999993
2,24,0.36
2,28,0.29999999999999993
2,29,0.30999999999999994
2,30,0.30999999999999994
2,31,0.32999999999999996
2,32,0.31999999999999995
2,33,0.33999999999999997
2,25,0.33999999999999997
2,26,0.30999999999999994
2,20,0.31999999999999995
2,21,0.31999999999999995
2,22,0.31999999999999995
2,23,0.30999999999999994
2,27,0.32999999999999996
2,24,0.39
2,28,0.32999999999999996
2,29,0.32999999999999996
2,30,0.32999999999999996
2,31,0.29000000000000004
2,32,0.30999999999999994
2,33,0.30999999999999994
2,25,0.43999999999999995
2,26,0.43999999999999995
2,20,0.26
2,21,0.25
2,22,0.26
2,23,0.25
2,27,0.29999999999999993
2,24,0.33999999999999997
2,28,0.29999999999999993
2,29,0.29999999999999993
2,30,0.30999999999999994
2,31,0.32999999999999996
2,32,0.30999999999999994
2,33,0.30999999999999994
2,25,0.32999999999999996
2,26,0.30999999999999994
2,20,0.19999999999999996
2,21,0.19999999999999996
2,22,0.19999999999999996
2,23,0.19999999999999996
2,27,0.36
2,24,0.29999999999999993
2,28,0.36
2,29,0.37
2,30,0.37
2,31,0.32999999999999996
2,32,0.33999999999999997
2,33,0.30999999999999994
2,25,0.29000000000000004
2,26,0.28
2,20,0.18999999999999995
2,21,0.21999999999999997
2,22,0.18999999999999995
2,23,0.18999999999999995
2,27,0.4
2,24,0.27
2,28,0.4
2,29,0.4
2,30,0.4
2,31,0.41000000000000003
2,32,0.41000000000000003
2,33,0.41000000000000003
2,25,0.30999999999999994
2,26,0.30999999999999994
2,20,0.21999999999999997
2,21,0.20999999999999996
2,22,0.21999999999999997
2,23,0.21999999999999997
2,27,0.31999999999999995
2,24,0.33999999999999997
2,28,0.31999999999999995
2,29,0.31999999999999995
2,30,0.31999999999999995
2,31,0.29000000000000004
2,32,0.30999999999999994
2,33,0.31999999999999995
2,25,0.33999999999999997
2,26,0.29999999999999993
2,20,0.27
2,21,0.27
2,22,0.27
2,23,0.27
2,27,0.20999999999999996
2,24,0.32999999999999996
2,28,0.20999999999999996
2,29,0.20999999999999996
2,30,0.19999999999999996
2,31,0.29999999999999993
2,32,0.31999999999999995
2,33,0.31999999999999995
2,25,0.41000000000000003
2,26,0.41000000000000003
2,20,0.21999999999999997
2,21,0.22999999999999998
2,22,0.20999999999999996
2,23,0.22999999999999998
2,27,0.22999999999999998
2,24,0.28
2,28,0.21999999999999997
2,29,0.21999999999999997
2,30,0.20999999999999996
2,31,0.31999999999999995
2,32,0.30999999999999994
2,33,0.30999999999999994
2,25,0.30999999999999994
2,26,0.30999999999999994
2,20,0.18999999999999995
2,21,0.19999999999999996
2,22,0.18999999999999995
2,23,0.19999999999999996
2,27,0.35
2,24,0.25
2,28,0.35
2,29,0.35
2,30,0.35
2,31,0.51
2,32,0.51
2,33,0.51
2,25,0.28
2,26,0.28
2,20,0.20999999999999996
2,21,0.20999999999999996
2,22,0.19999999999999996
2,23,0.20999999999999996
2,27,0.33999999999999997
2,24,0.30999999999999994
2,28,0.33999999999999997
2,29,0.33999999999999997
2,30,0.33999999999999997
2,31,0.38
2,32,0.30999999999999994
2,33,0.30999999999999994
2,25,0.29999999999999993
2,26,0.31999999999999995
2,20,0.26
2,21,0.26
2,22,0.26
2,23,0.25
2,27,0.26
2,24,0.36
2,28,0.26
2,29,0.26
2,30,0.26
2,31,0.30999999999999994
2,32,0.30999999999999994
2,33,0.30999999999999994
2,25,0.55
2,26,0.55
2,20,0.26
2,21,0.26
2,22,0.26
2,23,0.26
2,27,0.35
2,24,0.28
2,28,0.35
2,29,0.35
2,30,0.35
2,31,0.31999999999999995
2,32,0.31999999999999995
2,33,0.30999999999999994
2,25,0.27
2,26,0.29999999999999993
2,20,0.20999999999999996
2,21,0.20999999999999996
2,22,0.19999999999999996
2,23,0.19999999999999996
2,27,0.36
2,24,0.32999999999999996
2,28,0.36
2,29,0.36
2,30,0.36
2,31,0.43999999999999995
2,32,0.43999999999999995
2,33,0.43999999999999995
2,25,0.24
2,26,0.29000000000000004
2,20,0.21999999999999997
2,21,0.20999999999999996
2,22,0.19999999999999996
2,23,0.20999999999999996
2,27,0.37
2,24,0.31999999999999995
2,28,0.37
2,29,0.38
2,30,0.37
2,31,0.38
2,32,0.30999999999999994
2,33,0.30999999999999994
2,25,0.29999999999999993
2,26,0.31999999999999995
2,20,0.24
2,21,0.24
2,22,0.24
2,23,0.25
2,27,0.33999999999999997
2,24,0.39
2,28,0.32999999999999996
2,29,0.32999999999999996
2,30,0.33999999999999997
2,31,0.35
2,32,0.36
2,33,0.36
2,25,0.38
2,26,0.30999999999999994
2,20,0.25
2,21,0.26
2,22,0.25
2,23,0.25
2,27,0.27
2,24,0.29999999999999993
2,28,0.27
2,29,0.27
2,30,0.27
2,31,0.31999999999999995
2,32,0.31999999999999995
2,33,0.31999999999999995
2,25,0.30999999999999994
2,26,0.31999999999999995
2,20,0.25
2,21,0.26
2,22,0.25
2,23,0.25
2,27,0.31999999999999995
2,24,0.31999999999999995
2,28,0.32999999999999996
2,29,0.31999999999999995
2,30,0.31999999999999995
2,31,0.51
2,32,0.51
2,33,0.51
2,25,0.29000000000000004
2,26,0.30999999999999994
2,20,0.19999999999999996
2,21,0.21999999999999997
2,22,0.19999999999999996
2,23,0.19999999999999996
2,27,0.38
2,24,0.31999999999999995
2,28,0.39
2,29,0.38
2,30,0.38
2,31,0.32999999999999996
2,32,0.30999999999999994
2,33,0.30999999999999994
2,25,0.28
2,26,0.29999999999999993
2,20,0.24
2,21,0.25
2,22,0.24
2,23,0.24
2,27,0.35
2,24,0.52
2,28,0.35
2,29,0.35
2,30,0.35
2,31,0.36
2,32,0.36
2,33,0.36
2,25,0.44999999999999996
2,26,0.44999999999999996
2,77,0.18999999999999995
2,79,0.18999999999999995
2,20,0.4
2,21,0.4
2,22,0.4
2,23,0.4
2,27,0.28
2,24,0.35
2,28,0.27
2,29,0.27
2,30,0.27
2,31,0.29999999999999993
2,32,0.31999999999999995
2,33,0.31999999999999995
2,25,0.38
2,26,0.29999999999999993
2,77,0.18999999999999995
2,79,0.18999999999999995
2,20,0.18999999999999995
2,21,0.18999999999999995
2,22,0.18999999999999995
2,23,0.18999999999999995
2,27,0.37
2,24,0.27
2,28,0.37
2,29,0.37
2,30,0.37
2,31,0.44999999999999996
2,32,0.43999999999999995
2,33,0.44999999999999996
2,25,0.27
2,26,0.26
2,77,0.18999999999999995
2,79,0.18999999999999995
2,20,0.18999999999999995
2,21,0.18999999999999995
2,22,0.25
2,23,0.25
2,27,0.33999999999999997
2,24,0.4
2,28,0.32999999999999996
2,29,0.32999999999999996
2,30,0.32999999999999996
2,31,0.27
2,32,0.32999999999999996
2,33,0.44999999999999996
2,25,0.4
2,26,0.4
2,77,0.18999999999999995
2,79,0.18999999999999995
2,20,0.24
2,21,0.21999999999999997
2,22,0.21999999999999997
2,23,0.22999999999999998
2,27,0.29000000000000004
2,24,0.29000000000000004
2,28,0.29000000000000004
2,29,0.29999999999999993
2,30,0.29999999999999993
2,31,0.31999999999999995
2,32,0.32999999999999996
2,33,0.31999999999999995
2,25,0.31999999999999995
2,26,0.30999999999999994
2,77,0.18999999999999995
2,79,0.18999999999999995
2,20,0.20999999999999996
2,21,0.20999999999999996
2,22,0.20999999999999996
2,23,0.20999999999999996
2,27,0.31999999999999995
2,24,0.25
2,28,0.31999999999999995
2,29,0.32999999999999996
2,30,0.31999999999999995
2,31,0.42999999999999994
2,32,0.30999999999999994
2,33,0.39
2,25,0.30999999999999994
2,26,0.29999999999999993
2,20,0.26
2,21,0.27
2,22,0.26
